9.999631 msgs/s, 2923467.738647 mean, 1525839.442889 std, 275703.907013 min, 5545836.925507 max
9.999629 msgs/s, 2924547.854347 mean, 1525537.046517 std, 276911.020279 min, 5546768.903732 max
9.999626 msgs/s, 2923557.815580 mean, 1525858.395092 std, 275819.063187 min, 5545982.122421 max
9.999632 msgs/s, 2923785.967302 mean, 1525663.899036 std, 276129.961014 min, 5545863.866806 max
9.999598 msgs/s, 2923942.382917 mean, 1525777.212528 std, 276294.946671 min, 5546240.806580 max
9.999663 msgs/s, 2926825.981579 mean, 1524558.774841 std, 277796.030045 min, 5546571.016312 max
9.999597 msgs/s, 2928009.196234 mean, 1524375.322794 std, 278464.078903 min, 5547728.061676 max
9.999643 msgs/s, 2935204.875832 mean, 1524446.787991 std, 283787.012100 min, 5557023.048401 max
9.999593 msgs/s, 2934505.230560 mean, 1524730.978106 std, 283192.157745 min, 5556887.149811 max
9.999611 msgs/s, 2935798.270092 mean, 1524460.501885 std, 284111.022949 min, 5557974.100113 max
