9.999631,2923467.738647,1525839.442889,275703.907013,5545836.925507
9.999629,2924547.854347,1525537.046517,276911.020279,5546768.903732
9.999626,2923557.815580,1525858.395092,275819.063187,5545982.122421
9.999632,2923785.967302,1525663.899036,276129.961014,5545863.866806
9.999598,2923942.382917,1525777.212528,276294.946671,5546240.806580
9.999663,2926825.981579,1524558.774841,277796.030045,5546571.016312
9.999597,2928009.196234,1524375.322794,278464.078903,5547728.061676
9.999643,2935204.875832,1524446.787991,283787.012100,5557023.048401
9.999593,2934505.230560,1524730.978106,283192.157745,5556887.149811
9.999611,2935798.270092,1524460.501885,284111.022949,5557974.100113
