9.997896 msgs/s, 1100.849152 mean, 86.540092 std, 812.053680 min, 1545.906067 max
9.998012 msgs/s, 1024.973106 mean, 81.607028 std, 822.067261 min, 1605.033875 max
9.997817 msgs/s, 1135.288620 mean, 94.623044 std, 842.094421 min, 1899.003983 max
9.997913 msgs/s, 917.991066 mean, 63.019593 std, 804.901123 min, 2110.004425 max
9.997972 msgs/s, 1037.967682 mean, 91.093869 std, 821.113586 min, 1676.082611 max
9.998149 msgs/s, 1118.602991 mean, 89.634317 std, 787.019730 min, 1733.779907 max
9.997994 msgs/s, 1037.771845 mean, 111.587265 std, 815.868378 min, 1852.989197 max
9.997794 msgs/s, 941.664124 mean, 84.110192 std, 807.046890 min, 2291.202545 max
9.997979 msgs/s, 1064.038897 mean, 123.872969 std, 818.967819 min, 2647.876740 max
9.998209 msgs/s, 909.452820 mean, 53.278031 std, 808.000565 min, 1393.079758 max
