9.999433,1326441.826725,694717.826212,124861.001968,2515681.982040
9.999569,1326671.560097,694792.846951,133930.921555,2516000.986099
9.999498,1325863.805258,695014.639530,122728.109360,2515623.092651
9.999555,1331315.292203,693181.461438,133652.925491,2517164.945602
9.999530,1326257.187140,694986.326345,134332.895279,2515937.089920
9.999602,1325333.818901,695388.658698,122751.951218,2515567.064285
9.999592,1325299.394441,695679.190650,132707.118988,2515944.957733
9.999597,1325408.657229,695463.809838,120427.131653,2515747.070312
9.999447,1332210.306633,692994.573799,133972.883224,2517925.977707
9.999538,1329904.637599,693525.385743,134650.945663,2516564.130783
