9.999433 msgs/s, 1326441.826725 mean, 694717.826212 std, 124861.001968 min, 2515681.982040 max
9.999569 msgs/s, 1326671.560097 mean, 694792.846951 std, 133930.921555 min, 2516000.986099 max
9.999498 msgs/s, 1325863.805258 mean, 695014.639530 std, 122728.109360 min, 2515623.092651 max
9.999555 msgs/s, 1331315.292203 mean, 693181.461438 std, 133652.925491 min, 2517164.945602 max
9.999530 msgs/s, 1326257.187140 mean, 694986.326345 std, 134332.895279 min, 2515937.089920 max
9.999602 msgs/s, 1325333.818901 mean, 695388.658698 std, 122751.951218 min, 2515567.064285 max
9.999592 msgs/s, 1325299.394441 mean, 695679.190650 std, 132707.118988 min, 2515944.957733 max
9.999597 msgs/s, 1325408.657229 mean, 695463.809838 std, 120427.131653 min, 2515747.070312 max
9.999447 msgs/s, 1332210.306633 mean, 692994.573799 std, 133972.883224 min, 2517925.977707 max
9.999538 msgs/s, 1329904.637599 mean, 693525.385743 std, 134650.945663 min, 2516564.130783 max
