9.998995 msgs/s, 860.619426 mean, 122.858436 std, 711.917877 min, 3884.077072 max
9.998998 msgs/s, 881.783032 mean, 127.553240 std, 715.970993 min, 3969.907761 max
9.999127 msgs/s, 867.673135 mean, 125.587384 std, 710.964203 min, 3813.982010 max
9.998999 msgs/s, 821.355700 mean, 125.234894 std, 713.109970 min, 3826.856613 max
9.998966 msgs/s, 810.987902 mean, 132.735176 std, 712.871552 min, 3755.807877 max
9.999096 msgs/s, 937.747502 mean, 125.953073 std, 763.177872 min, 3972.053528 max
9.998887 msgs/s, 817.445207 mean, 119.451775 std, 707.864761 min, 3697.872162 max
9.999114 msgs/s, 904.795003 mean, 124.584399 std, 715.970993 min, 3903.865814 max
9.999008 msgs/s, 910.293365 mean, 130.047697 std, 715.017319 min, 4102.230072 max
9.998945 msgs/s, 938.852620 mean, 124.667550 std, 730.991364 min, 3915.071487 max
