9.999331,22255.558554,6777.259840,9396.076202,38156.032562
9.999343,16984.769678,6096.883653,4814.863205,34260.988235
9.999322,24220.444107,7141.172247,10771.036148,45011.997223
9.999418,28112.944523,5699.406774,14603.853226,45645.952225
9.999312,24068.818522,7128.876480,10316.133499,44718.980789
9.999318,17067.989524,6086.241524,5430.936813,34225.940704
9.999247,28573.527082,5622.623944,16699.075699,46002.864838
9.999221,29863.086971,5525.399435,16834.974289,46328.067780
9.999278,20008.022102,6235.811533,7467.031479,36056.041718
9.999280,31964.188004,6153.633433,17758.131027,49296.140671
